Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
2/18/2002,BHARTI,EQ,0,51.9,51.9,43.5,44.7,44.35,46,10381190,4.77543E+13
2/19/2002,BHARTI,EQ,44.35,45.15,45.15,41.3,41.35,41.7,42.58,3552660,1.51261E+13
2/20/2002,BHARTI,EQ,41.7,40.6,42.8,40.25,41.2,41.25,41.56,2512964,1.04435E+13
2/21/2002,BHARTI,EQ,41.25,42.85,43.4,42.15,42.2,42.4,42.76,1338196,5.72268E+12
2/22/2002,BHARTI,EQ,42.4,42.65,43.6,41.1,43.35,43.3,42.75,811327,3.46841E+12
2/25/2002,BHARTI,EQ,43.3,45.5,45.5,42.65,42.95,42.8,43.05,454151,1.9553E+12
2/26/2002,BHARTI,EQ,42.8,43.15,44.2,42.9,43.7,43.6,43.48,894960,3.89117E+12
2/27/2002,BHARTI,EQ,43.6,43.95,46.3,43.75,44.45,44.65,45.02,3271361,1.47288E+13
2/28/2002,BHARTI,EQ,44.65,46,46.8,40.8,41.4,41.5,44.48,4429634,1.97028E+13
3/1/2002,BHARTI,EQ,41.5,42,43.4,41.8,42.45,42.5,42.52,942785,4.00899E+12
3/4/2002,BHARTI,EQ,42.5,43.1,44.25,42.85,43.25,43.3,43.37,615152,2.66785E+12
3/5/2002,BHARTI,EQ,43.3,44.2,45.5,43.7,45.35,45.3,44.92,1490137,6.69388E+12
3/6/2002,BHARTI,EQ,45.3,45.9,46.7,44.8,45.35,45.1,45.68,1989742,9.08858E+12
3/7/2002,BHARTI,EQ,45.1,45.9,45.9,44.75,44.95,44.95,44.99,675801,3.04025E+12
3/8/2002,BHARTI,EQ,44.95,45.2,45.25,43.7,43.8,43.9,44.29,273519,1.2113E+12
3/11/2002,BHARTI,EQ,43.9,44.5,45.4,43.1,43.45,43.3,43.59,217122,9.46424E+11
3/12/2002,BHARTI,EQ,43.3,43.4,43.45,41.9,41.9,42.1,42.64,321384,1.37036E+12
3/13/2002,BHARTI,EQ,42.1,42.1,42.65,41.5,42,41.9,42.15,228034,9.61193E+11
3/14/2002,BHARTI,EQ,41.9,42,42.4,41.05,41.35,41.45,41.66,302924,1.26209E+12
3/15/2002,BHARTI,EQ,41.45,42,42.5,41.35,42,41.95,41.88,402993,1.68765E+12
3/18/2002,BHARTI,EQ,41.95,43,43,41.55,41.55,41.75,42.17,387469,1.63399E+12
3/19/2002,BHARTI,EQ,41.75,42.1,42.9,40.4,40.6,40.7,41.33,505251,2.08817E+12
3/20/2002,BHARTI,EQ,40.7,40.9,41.35,40.25,40.45,40.5,40.89,413147,1.68938E+12
3/21/2002,BHARTI,EQ,40.5,40.6,41,40.4,40.55,40.6,40.67,171711,6.98274E+11
3/22/2002,BHARTI,EQ,40.6,40.8,41.45,39.5,39.8,39.85,40.12,225579,9.05032E+11
3/26/2002,BHARTI,EQ,39.85,40.75,40.75,38.9,39,39,39.26,190075,7.4615E+11
3/27/2002,BHARTI,EQ,39,40.9,40.9,39,39,39.1,39.19,175456,6.87585E+11
3/28/2002,BHARTI,EQ,39.1,39.2,39.35,38,38.8,38.55,38.74,247315,9.58054E+11
4/1/2002,BHARTI,EQ,38.55,39.4,40.1,38.65,38.8,38.9,39.35,169309,6.6631E+11
4/2/2002,BHARTI,EQ,38.9,38.95,39,37.05,37.25,37.3,37.82,401427,1.51813E+12
4/3/2002,BHARTI,EQ,37.3,37.25,38,35.7,36.2,36.1,36.94,434081,1.60359E+12
4/4/2002,BHARTI,EQ,36.1,36.9,39.45,36.5,39,38.6,37.98,461590,1.75299E+12
4/5/2002,BHARTI,EQ,38.6,39,39.65,38.05,38.2,38.2,38.81,278024,1.07898E+12
4/8/2002,BHARTI,EQ,38.2,38.8,39,37,37.25,37.15,37.76,264685,9.99421E+11
4/9/2002,BHARTI,EQ,37.15,37.9,38.95,37.5,37.9,37.75,38.01,330822,1.25744E+12
4/10/2002,BHARTI,EQ,37.75,38,38,36.4,37.3,37.15,37.01,393221,1.45518E+12
4/11/2002,BHARTI,EQ,37.15,37.9,39.6,37.9,38.95,38.55,38.75,462716,1.79319E+12
4/12/2002,BHARTI,EQ,38.55,38.35,38.4,37.4,37.75,37.75,37.66,365658,1.37689E+12
4/15/2002,BHARTI,EQ,37.75,37.5,38.8,37.1,37.8,37.85,37.98,309167,1.17434E+12
4/16/2002,BHARTI,EQ,37.85,38,38.4,37.75,37.8,37.85,38.03,207262,7.88144E+11
4/17/2002,BHARTI,EQ,37.85,38.35,38.45,37.25,37.5,37.4,37.75,221096,8.34543E+11
4/18/2002,BHARTI,EQ,37.4,37.9,37.95,37.3,37.65,37.5,37.58,125768,4.72578E+11
4/19/2002,BHARTI,EQ,37.5,37.9,37.9,36.75,36.9,36.95,37.18,159582,5.93379E+11
4/22/2002,BHARTI,EQ,36.95,37.8,37.8,36.55,36.9,36.7,36.95,209825,7.75267E+11
4/23/2002,BHARTI,EQ,36.7,37.4,37.5,35.9,36.2,36,36.33,304296,1.1056E+12
4/24/2002,BHARTI,EQ,36,36.2,36.9,36.2,36.9,36.75,36.63,153154,5.61058E+11
4/25/2002,BHARTI,EQ,36.75,36.9,37,36.2,36.3,36.3,36.49,260518,9.50713E+11
4/26/2002,BHARTI,EQ,36.3,36.15,36.7,35.7,35.7,35.9,36.07,324142,1.16934E+12
4/29/2002,BHARTI,EQ,35.9,35.75,37.3,35.25,35.8,35.7,36.28,388628,1.40999E+12
4/30/2002,BHARTI,EQ,35.7,35.6,36,34.9,35,35,35.26,267446,9.42994E+11
5/2/2002,BHARTI,EQ,35,35.25,35.6,34.35,34.55,34.85,34.94,521349,1.82137E+12
5/3/2002,BHARTI,EQ,34.85,35,35,33.9,34.05,34.1,34.2,418258,1.43042E+12
5/6/2002,BHARTI,EQ,34.1,34.5,34.6,33.8,33.95,34,34.14,849209,2.89937E+12
5/7/2002,BHARTI,EQ,34,33.8,34.2,33.8,34.05,34.05,34.02,614737,2.09111E+12
5/8/2002,BHARTI,EQ,34.05,34.25,34.45,34,34.35,34.25,34.18,985787,3.36947E+12
5/9/2002,BHARTI,EQ,34.25,35.45,37.25,34.5,36.75,35.8,35.4,889295,3.14768E+12
5/10/2002,BHARTI,EQ,35.8,37.05,38.3,36.1,36.25,36.4,37.19,1040862,3.87091E+12
5/13/2002,BHARTI,EQ,36.4,35.85,37,35.8,36.15,36.05,36.19,265570,9.60999E+11
5/14/2002,BHARTI,EQ,36.05,36.3,36.55,35.25,35.25,35.55,35.74,259521,9.27603E+11
5/15/2002,BHARTI,EQ,35.55,35.7,35.85,34.6,34.7,34.95,35.15,338589,1.19029E+12
5/16/2002,BHARTI,EQ,34.95,35.25,35.25,34.2,34.85,34.55,34.55,367218,1.26872E+12
5/17/2002,BHARTI,EQ,34.55,34.25,34.8,34.25,34.6,34.7,34.51,697619,2.40749E+12
5/20/2002,BHARTI,EQ,34.7,34.05,34.45,33.2,33.55,33.65,33.94,846600,2.87342E+12
5/21/2002,BHARTI,EQ,33.65,33.2,33.5,32.25,33.25,33.05,32.93,1188202,3.91256E+12
5/22/2002,BHARTI,EQ,33.05,33.1,35.3,33,33.5,33.7,34.21,330183,1.12952E+12
5/23/2002,BHARTI,EQ,33.7,33.95,33.95,32.8,33,33,33.03,268447,8.86746E+11
5/24/2002,BHARTI,EQ,33,33.5,34,33.1,33.5,33.45,33.5,270784,9.07042E+11
5/27/2002,BHARTI,EQ,33.45,34.2,34.2,33.05,33.25,33.2,33.36,154536,5.15601E+11
5/28/2002,BHARTI,EQ,33.2,33.5,33.5,32.65,32.85,32.85,32.98,877260,2.89353E+12
5/29/2002,BHARTI,EQ,32.85,32.6,33.5,32.25,32.45,32.4,32.66,358157,1.16978E+12
5/30/2002,BHARTI,EQ,32.4,32.1,32.6,31.9,32.05,32,32.15,268915,8.64622E+11
5/31/2002,BHARTI,EQ,32,32.5,32.55,31.6,32.5,32.2,32.15,126001,4.05153E+11
6/3/2002,BHARTI,EQ,32.2,33.1,33.5,32.1,32.2,32.2,32.55,84769,2.75912E+11
6/4/2002,BHARTI,EQ,32.2,33,33.5,32,33.1,32.9,32.41,860401,2.78855E+12
6/5/2002,BHARTI,EQ,32.9,33.5,33.75,32.5,32.7,32.65,33.14,243850,8.08166E+11
6/6/2002,BHARTI,EQ,32.65,33.4,36.15,33,36.1,35.65,34.49,740010,2.55225E+12
6/7/2002,BHARTI,EQ,35.65,34.5,36.65,33.6,33.75,33.95,34.97,572510,2.00204E+12
6/10/2002,BHARTI,EQ,33.95,34.75,34.85,33.55,34,33.75,34.36,362233,1.24481E+12
6/11/2002,BHARTI,EQ,33.75,34.6,35.25,34.25,34.5,34.45,34.68,239454,8.30536E+11
6/12/2002,BHARTI,EQ,34.45,34.5,34.75,33.5,33.5,33.6,33.92,290225,9.84342E+11
6/13/2002,BHARTI,EQ,33.6,34.3,34.3,32.65,32.9,32.8,33.21,312706,1.03849E+12
6/14/2002,BHARTI,EQ,32.8,33.05,33.8,33.05,33.55,33.45,33.43,207995,6.95374E+11
6/17/2002,BHARTI,EQ,33.45,36,38.5,35,35.95,35.7,36.37,1078596,3.92254E+12
6/18/2002,BHARTI,EQ,35.7,36.1,36.35,34.65,35.25,35,35.37,412009,1.45748E+12
6/19/2002,BHARTI,EQ,35,35,35.3,34,34,34.15,34.35,241134,8.28249E+11
6/20/2002,BHARTI,EQ,34.15,33.95,34.6,33.8,34.4,34.3,34.22,179642,6.1481E+11
6/21/2002,BHARTI,EQ,34.3,35.1,35.1,33.75,33.9,33.9,34.06,199036,6.77941E+11
6/24/2002,BHARTI,EQ,33.9,34,34.1,33.45,33.75,33.75,33.76,326210,1.10118E+12
6/25/2002,BHARTI,EQ,33.75,34.35,34.35,33.2,33.75,33.75,33.61,153266,5.15127E+11
6/26/2002,BHARTI,EQ,33.75,33.95,33.95,33.1,33.1,33.3,33.43,135128,4.51714E+11
6/27/2002,BHARTI,EQ,33.3,33.5,33.7,33.3,33.35,33.4,33.53,117921,3.95377E+11
6/28/2002,BHARTI,EQ,33.4,34.9,34.9,33.5,34.05,34,33.91,156815,5.31756E+11
7/1/2002,BHARTI,EQ,34,34.05,35.5,33.5,35.05,34.8,34.73,381852,1.32606E+12
7/2/2002,BHARTI,EQ,34.8,33.5,35.6,33.5,35.55,35.5,35.19,304839,1.07264E+12
7/3/2002,BHARTI,EQ,35.5,36,36,34.95,35.05,35.15,35.31,258959,9.14513E+11
7/4/2002,BHARTI,EQ,35.15,35.75,36.25,35.25,36,36,35.88,517457,1.85651E+12
7/5/2002,BHARTI,EQ,36,35.05,35.45,34,34.25,34.2,34.59,407041,1.4079E+12
7/8/2002,BHARTI,EQ,34.2,34.25,34.7,33.75,34,34,34.31,257784,8.84492E+11
7/9/2002,BHARTI,EQ,34,34.3,34.35,33.45,33.65,33.55,33.72,296310,9.9907E+11
7/10/2002,BHARTI,EQ,33.55,34.2,34.45,33.35,33.45,33.45,33.67,378638,1.27496E+12
7/11/2002,BHARTI,EQ,33.45,34,34,32.5,32.7,32.6,33.1,498249,1.64921E+12
7/12/2002,BHARTI,EQ,32.6,33.2,33.2,31.95,32.25,32.1,32.4,546586,1.77096E+12
7/15/2002,BHARTI,EQ,32.1,32,32.35,31.65,31.75,31.8,31.94,276326,8.82559E+11
7/16/2002,BHARTI,EQ,31.8,30.95,32,30.95,31.65,31.75,31.81,220883,7.02683E+11
7/17/2002,BHARTI,EQ,31.75,31.6,31.95,31.05,31.35,31.25,31.33,220988,6.92258E+11
7/18/2002,BHARTI,EQ,31.25,32.1,32.25,31.5,31.75,31.6,31.74,111224,3.53028E+11
7/19/2002,BHARTI,EQ,31.6,31.9,31.95,31.5,31.55,31.6,31.66,123345,3.90495E+11
7/22/2002,BHARTI,EQ,31.6,31.8,31.9,31,31.45,31.45,31.39,194096,6.09216E+11
7/23/2002,BHARTI,EQ,31.45,31.5,31.5,30.55,31,31.1,31.06,218885,6.79874E+11
7/24/2002,BHARTI,EQ,31.1,31.2,31.2,30.5,30.85,30.8,30.79,112715,3.47043E+11
7/25/2002,BHARTI,EQ,30.8,31.5,32,31.15,31.15,31.2,31.45,177297,5.57563E+11
7/26/2002,BHARTI,EQ,31.2,30.6,31,30.15,30.5,30.5,30.55,197183,6.02458E+11
7/29/2002,BHARTI,EQ,30.5,31.5,31.5,30.25,30.6,30.5,30.5,221387,6.75196E+11
7/30/2002,BHARTI,EQ,30.5,31.5,31.5,30.35,30.5,30.45,30.57,210715,6.44081E+11
7/31/2002,BHARTI,EQ,30.45,30.5,31.6,29.3,31.15,31.35,30.67,427374,1.31078E+12
8/1/2002,BHARTI,EQ,31.35,31,31.1,29.9,30.3,30.25,30.31,277918,8.42311E+11
8/2/2002,BHARTI,EQ,30.25,30.1,30.3,29.8,30.15,30.15,30.06,126344,3.79776E+11
8/5/2002,BHARTI,EQ,30.15,30.3,30.5,30.1,30.15,30.2,30.3,59909,1.8151E+11
8/6/2002,BHARTI,EQ,30.2,30.35,30.35,29.9,30.05,30,30.03,121860,3.65942E+11
8/7/2002,BHARTI,EQ,30,30.45,30.55,29.8,30,30,30.05,132852,3.99211E+11
8/8/2002,BHARTI,EQ,30,30.35,30.35,29.85,30.2,30,30.04,82212,2.46965E+11
8/9/2002,BHARTI,EQ,30,29.95,30.2,29.85,30,30,30.02,101452,3.04517E+11
8/12/2002,BHARTI,EQ,30,30,30.3,29.8,30.15,30.25,30.12,74424,2.24194E+11
8/13/2002,BHARTI,EQ,30.25,30.15,30.5,30,30.35,30.35,30.27,36201,1.09564E+11
8/14/2002,BHARTI,EQ,30.35,30.15,30.5,30.15,30.35,30.3,30.29,37079,1.12322E+11
8/16/2002,BHARTI,EQ,30.3,30.5,31.75,30.25,31.6,31.35,31.2,148689,4.6393E+11
8/19/2002,BHARTI,EQ,31.35,31.2,32.5,30.8,32.1,32.25,31.86,171638,5.46772E+11
8/20/2002,BHARTI,EQ,32.25,32.8,33.6,32.1,33.25,33.1,33.03,298633,9.8647E+11
8/21/2002,BHARTI,EQ,33.1,33.75,33.75,32,33.1,33.25,33.26,125197,4.1643E+11
8/22/2002,BHARTI,EQ,33.25,33.5,33.5,32.15,32.3,32.3,32.7,85556,2.79777E+11
8/23/2002,BHARTI,EQ,32.3,32.5,33,32.1,33,32.55,32.41,77472,2.51114E+11
8/26/2002,BHARTI,EQ,32.55,32.8,33,32.2,32.25,32.35,32.55,43662,1.42134E+11
8/27/2002,BHARTI,EQ,32.35,32.35,32.55,32.05,32.15,32.1,32.28,58757,1.89668E+11
8/28/2002,BHARTI,EQ,32.1,32.3,32.3,31.45,31.95,31.95,31.9,80606,2.57139E+11
8/29/2002,BHARTI,EQ,31.95,32,32.1,31.05,31.05,31.1,31.46,59884,1.88404E+11
8/30/2002,BHARTI,EQ,31.1,31,32.9,30.85,32.5,32.5,31.98,214136,6.84892E+11
9/2/2002,BHARTI,EQ,32.5,33,33.85,32.65,33,32.95,33.15,207295,6.87107E+11
9/3/2002,BHARTI,EQ,32.95,32.75,32.75,32.1,32.35,32.45,32.41,94889,3.07549E+11
9/4/2002,BHARTI,EQ,32.45,32,33.6,32,33,32.9,32.88,177676,5.84143E+11
9/5/2002,BHARTI,EQ,32.9,33.3,33.5,32.9,33,33,33.11,112637,3.72985E+11
9/6/2002,BHARTI,EQ,33,33.5,33.5,32.3,32.4,32.5,32.76,105028,3.44102E+11
9/9/2002,BHARTI,EQ,32.5,32.1,32.9,31.75,31.75,31.85,32.03,201523,6.45578E+11
9/11/2002,BHARTI,EQ,31.85,32.6,32.6,31.7,32,31.9,31.9,38624,1.23203E+11
9/12/2002,BHARTI,EQ,31.9,32,34.3,31.8,32.55,32.5,33.02,253743,8.37875E+11
9/13/2002,BHARTI,EQ,32.5,32.95,34.5,32.5,34,34.05,33.94,1269675,4.30944E+12
9/16/2002,BHARTI,EQ,34.05,34.2,35.35,32.45,34.35,34.25,34.88,493652,1.72189E+12
9/17/2002,BHARTI,EQ,34.25,34.75,35.05,34,34.85,34.85,34.74,1196452,4.15628E+12
9/18/2002,BHARTI,EQ,34.85,34.9,35.25,34.15,34.15,34.3,34.58,194907,6.74025E+11
9/19/2002,BHARTI,EQ,34.3,33.6,35,30.65,31.25,31.4,33.83,3223173,1.09039E+13
9/20/2002,BHARTI,EQ,31.4,31.5,34.15,31,33.7,33.7,32.75,572997,1.8764E+12
9/23/2002,BHARTI,EQ,33.7,33.85,33.9,32.5,32.55,32.65,32.93,77977,2.56779E+11
9/24/2002,BHARTI,EQ,32.65,32.5,32.5,31,31.1,31.15,31.25,472313,1.47606E+12
9/25/2002,BHARTI,EQ,31.15,31,32.6,30.9,31.5,31.65,31.79,338969,1.07745E+12
9/26/2002,BHARTI,EQ,31.65,31.5,32.1,31.2,31.35,31.35,31.59,151451,4.78502E+11
