Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
1/3/2000,TISCO,EQ,142.35,148,153.2,146.1,152.5,152.45,150.92,2003185,3.02316E+13
1/4/2000,TISCO,EQ,152.45,150.1,153,143.05,151.95,150.8,151.03,1555136,2.34879E+13
1/5/2000,TISCO,EQ,150.8,144.6,162.9,144.6,158,156.55,156.85,3840284,6.02336E+13
1/6/2000,TISCO,EQ,156.55,158.95,169.1,158.95,169,168.25,167.61,2560449,4.29153E+13
1/7/2000,TISCO,EQ,168.25,173.4,179,166.3,170.55,171.95,173.89,3641691,6.33246E+13
1/10/2000,TISCO,EQ,171.95,173.95,184.9,173.95,179,182.25,180.32,4642054,8.37063E+13
1/11/2000,TISCO,EQ,182.25,179,180,167.7,167.7,167.7,170.99,1705968,2.91706E+13
1/12/2000,TISCO,EQ,167.7,165,172,159.15,166.5,165.3,165.39,2337738,3.8665E+13
1/13/2000,TISCO,EQ,165.3,167.9,170,156.05,158.7,159.2,163,1584803,2.5832E+13
1/14/2000,TISCO,EQ,159.2,161,161.9,156,159.25,158.7,158.87,1541731,2.44942E+13
1/17/2000,TISCO,EQ,158.7,164.95,171.4,163.1,165.5,166.8,168.19,3326270,5.59445E+13
1/18/2000,TISCO,EQ,166.8,166.9,176,163.25,175,172.8,169.43,3516827,5.9586E+13
1/19/2000,TISCO,EQ,172.8,177,178,171,171.25,172.85,174.04,2617065,4.55475E+13
1/20/2000,TISCO,EQ,172.85,171,179,160.7,161,163.1,171.22,8257650,1.41388E+14
1/21/2000,TISCO,EQ,163.1,162.7,164.75,159.1,162,162.4,162.49,2794941,4.54153E+13
1/24/2000,TISCO,EQ,162.4,163.9,163.9,150,150.9,151.15,157.14,2446509,3.84456E+13
1/25/2000,TISCO,EQ,151.15,150,154,147,149,148.45,150.45,3030257,4.55914E+13
1/27/2000,TISCO,EQ,148.45,151.4,153.5,147.5,148.2,148.3,150.04,1466342,2.20005E+13
1/28/2000,TISCO,EQ,148.3,148,151,143.25,144.5,144.5,146.85,1996632,2.93204E+13
1/31/2000,TISCO,EQ,144.5,143.1,144,138.6,139.6,139.35,141.67,1269284,1.79826E+13
2/1/2000,TISCO,EQ,139.35,139.1,142.7,138.6,140.6,140.5,141.11,1748130,2.46686E+13
2/2/2000,TISCO,EQ,140.5,143.7,145.25,140,141,141.05,142.96,1376545,1.96788E+13
2/3/2000,TISCO,EQ,141.05,141.9,146.2,139.55,140.2,140,142.58,3275087,4.66961E+13
2/4/2000,TISCO,EQ,140,141.9,142,139,140.4,140.1,140.02,1654411,2.31646E+13
2/7/2000,TISCO,EQ,140.1,140,140.85,138.25,138.6,139,139.66,929743,1.29846E+13
2/8/2000,TISCO,EQ,139,138.5,143.5,138.1,141.25,141.1,141.2,2677365,3.78036E+13
2/9/2000,TISCO,EQ,141.1,145.4,150.25,143.1,143.9,144.4,147.07,2847687,4.18814E+13
2/10/2000,TISCO,EQ,144.4,145.5,145.5,141.1,142,141.85,142.59,1093875,1.55978E+13
2/11/2000,TISCO,EQ,141.85,143.8,143.95,139.75,140.5,140.2,141.06,1149793,1.62195E+13
2/14/2000,TISCO,EQ,140.2,139,140.5,132.05,133.3,134.65,137.32,1013330,1.39148E+13
2/15/2000,TISCO,EQ,134.65,133.5,137,130.25,131.5,131.75,133.83,1818713,2.43392E+13
2/16/2000,TISCO,EQ,131.75,135.8,138,134.5,135,135.35,136.01,804018,1.09352E+13
2/17/2000,TISCO,EQ,135.35,136,137.65,134.1,135.5,135.85,135.84,765613,1.04002E+13
2/18/2000,TISCO,EQ,135.85,135.95,136.5,132.5,133,133.2,134.18,648089,8.69623E+12
2/21/2000,TISCO,EQ,133.2,134,138.75,132,133.05,133.15,135.45,1165796,1.57912E+13
2/22/2000,TISCO,EQ,133.15,134.35,135.25,130.4,131,131.25,132.95,1013742,1.34778E+13
2/23/2000,TISCO,EQ,131.25,135.5,136,128,129,128.75,131.9,728400,9.60767E+12
2/24/2000,TISCO,EQ,128.75,131.3,133.2,125.25,128.7,128.9,129.83,785072,1.01925E+13
2/25/2000,TISCO,EQ,128.9,129.1,133,127.5,128.6,128.5,130.34,681916,8.88775E+12
2/28/2000,TISCO,EQ,128.5,129.2,131.75,127.1,131,130.75,130.35,546385,7.12228E+12
2/29/2000,TISCO,EQ,130.75,133,135.85,120.3,120.3,120.55,130.33,1567019,2.04224E+13
3/1/2000,TISCO,EQ,120.55,123,126.85,110.95,120.9,115.75,117.52,3469035,4.07683E+13
3/2/2000,TISCO,EQ,115.75,122,125.05,113.1,114.2,115.3,120.64,4536084,5.47239E+13
3/3/2000,TISCO,EQ,115.3,112.5,112.5,106.1,107,106.45,108.76,1267692,1.37879E+13
3/6/2000,TISCO,EQ,106.45,108.9,112.5,101.25,102.75,102.85,107.75,1462483,1.57578E+13
3/7/2000,TISCO,EQ,102.85,103.4,104,96.5,97,97.15,99.23,1992209,1.97691E+13
3/8/2000,TISCO,EQ,97.15,99.4,99.4,90.5,91.5,91.15,94.79,1359620,1.28882E+13
3/9/2000,TISCO,EQ,91.15,91.75,97.5,91,95,96.05,94.2,1396024,1.31502E+13
3/10/2000,TISCO,EQ,96.05,96,97,90.6,92.4,91.9,92.64,834661,7.73201E+12
3/13/2000,TISCO,EQ,91.9,93.3,94.9,89.1,90.5,90.35,92.69,1024407,9.49497E+12
3/14/2000,TISCO,EQ,90.35,91.9,97.6,89.25,97.6,97.6,94.37,1340192,1.2647E+13
3/15/2000,TISCO,EQ,97.6,104.95,105.45,101,105.45,105.45,104.5,1457390,1.52294E+13
3/16/2000,TISCO,EQ,105.45,108,111.9,100.55,109,109.05,107.17,3260289,3.4941E+13
3/21/2000,TISCO,EQ,109.05,109.75,111.7,103.1,107.3,108.5,108.13,2397599,2.59254E+13
3/22/2000,TISCO,EQ,108.5,108.9,113.4,106,109,109.55,109.64,1447656,1.58719E+13
3/23/2000,TISCO,EQ,109.55,108.35,110.8,103.3,104,104.25,106.17,870011,9.23732E+12
3/24/2000,TISCO,EQ,104.25,105,106.6,104.1,106,105.85,105.6,686553,7.25011E+12
3/27/2000,TISCO,EQ,105.85,106.9,106.9,103,104.65,104,104.95,468429,4.9163E+12
3/28/2000,TISCO,EQ,104,104.5,107,102,106.25,106.35,104.84,1220783,1.27982E+13
3/29/2000,TISCO,EQ,106.35,107.1,109.45,103.85,105,104.85,106.94,1141017,1.22024E+13
3/30/2000,TISCO,EQ,104.85,104.2,111.5,101.1,108.3,108.55,106.56,2543879,2.71088E+13
3/31/2000,TISCO,EQ,108.55,107.3,116,105.25,115,115.15,113.04,3660943,4.13839E+13
4/3/2000,TISCO,EQ,115.15,116.75,124.4,116.75,121.75,122.65,122.11,3438532,4.19875E+13
4/4/2000,TISCO,EQ,122.65,121.5,121.5,112.85,115.4,114.15,115.68,3324851,3.84635E+13
4/5/2000,TISCO,EQ,114.15,114,119,109.2,117.35,118.25,115.09,3400972,3.91433E+13
4/6/2000,TISCO,EQ,118.25,118.9,122.9,112,115.25,115.2,115.4,1752811,2.02266E+13
4/7/2000,TISCO,EQ,115.2,115.8,123.9,115.3,122.65,123.25,121.1,4457298,5.39771E+13
4/10/2000,TISCO,EQ,123.25,124,125.8,119.05,119.95,120.6,122.82,3288466,4.03884E+13
4/11/2000,TISCO,EQ,120.6,117.5,119.45,115.25,117.3,117.15,117.39,1337181,1.56977E+13
4/12/2000,TISCO,EQ,117.15,118,119.65,115.6,116.9,116.7,117.31,812855,9.53568E+12
4/13/2000,TISCO,EQ,116.7,115.1,115.1,110.3,113.1,112.2,112.66,1706328,1.92234E+13
4/17/2000,TISCO,EQ,112.2,110,121,104.1,114.3,114.4,114.88,5607896,6.44256E+13
4/18/2000,TISCO,EQ,114.4,114.95,119,114,117,116,116.51,1592616,1.85552E+13
4/19/2000,TISCO,EQ,116,119,120.5,113.8,116,115.95,117.46,2368988,2.78273E+13
4/20/2000,TISCO,EQ,115.95,116,117,112.25,116.25,116.1,114.45,1231875,1.40993E+13
4/24/2000,TISCO,EQ,116.1,116.5,117.5,110.6,111,111.95,114.39,1362670,1.55871E+13
4/25/2000,TISCO,EQ,111.95,110.1,111,106.5,109.15,109.2,108.45,2110199,2.28856E+13
4/26/2000,TISCO,EQ,109.2,112.4,116.15,110.3,115,115.5,114.18,2157205,2.46304E+13
4/27/2000,TISCO,EQ,115.5,115,115,110,111.7,111.35,112.77,1035056,1.16721E+13
4/28/2000,TISCO,EQ,111.35,112.5,114.5,107.5,108,108.1,109.75,894858,9.82093E+12
5/2/2000,TISCO,EQ,108.1,108.1,109,101.25,102.8,102,104.03,1331445,1.38516E+13
5/3/2000,TISCO,EQ,102,103,104,98,103.45,103.05,101.85,701492,7.14488E+12
5/4/2000,TISCO,EQ,103.05,103.95,108,102.5,105,105.4,105.54,640752,6.76245E+12
5/5/2000,TISCO,EQ,105.4,105.05,108.95,103.85,107,107.15,106.81,1085074,1.15897E+13
5/8/2000,TISCO,EQ,107.15,107.5,111,105.35,105.75,106.2,108.42,856821,9.28998E+12
5/9/2000,TISCO,EQ,106.2,105.1,106.2,102.15,105.8,104.6,104.43,744158,7.77132E+12
5/10/2000,TISCO,EQ,104.6,107.25,107.25,103.75,104.05,104.2,105.12,337284,3.5454E+12
5/11/2000,TISCO,EQ,104.2,102.1,104.4,102,102.45,102.65,103.08,225306,2.32235E+12
5/12/2000,TISCO,EQ,102.65,103.45,103.95,99,100,100.25,101.74,464532,4.72592E+12
5/15/2000,TISCO,EQ,100.25,98.5,102.25,98,101.65,101.9,100.83,443450,4.47131E+12
5/16/2000,TISCO,EQ,101.9,101.5,103.5,101.5,102.25,102.2,102.27,515789,5.27484E+12
5/17/2000,TISCO,EQ,102.2,103.9,108.3,103.9,105.4,105.1,106.46,1419590,1.51124E+13
5/18/2000,TISCO,EQ,105.1,106.55,115.5,106.55,112,111.45,111.78,3738719,4.17917E+13
5/19/2000,TISCO,EQ,111.45,112.5,115.5,111.1,114.25,113.5,113.86,1688159,1.92213E+13
5/22/2000,TISCO,EQ,113.5,113,119.75,111.9,114.4,114.4,116.91,2805646,3.27996E+13
5/23/2000,TISCO,EQ,114.4,114.2,116.5,112.55,116.45,115.45,114.18,1314005,1.50033E+13
5/24/2000,TISCO,EQ,115.45,114.75,120.95,113.5,119,118.25,118.22,3245820,3.83726E+13
5/25/2000,TISCO,EQ,118.25,118,120.75,113.15,114.5,114.45,116.84,2814591,3.28863E+13
